lambda,u4_qmc_eta10,u4_ed_eta10,x2_qmc_eta10,x2_ed_eta10,u4_qmc_eta50,u4_ed_eta50,x2_qmc_eta50,x2_ed_eta50,u4_qmc_eta200,u4_ed_eta200,x2_qmc_eta200,x2_ed_eta200,u4_qmc_eta500,u4_ed_eta500,x2_qmc_eta500,x2_ed_eta500
1.400000,1.0973134894e-1,1.1128491864e-1,1.7099553188e0,1.7095279387e0,1.2639530596e-2,1.1580685407e-2,1.1535861393e0,1.1525497361e0,1.0696076828e-3,9.3319330966e-4,1.0387250954e0,1.0389133407e0,1.9468641712e-4,1.5781365687e-4,1.0162267906e0,1.0156333603e0
1.420000,1.1620596515e-1,1.1519309734e-1,1.7323828536e0,1.7306950462e0,6.2332344853e-3,1.2165418880e-2,1.1589021111e0,1.1569489046e0,1.0038482219e-3,9.8555566473e-4,1.0375064989e0,1.0400332563e0,1.8917496226e-4,1.6687905697e-4,1.0159195016e0,1.0160832289e0
1.440000,1.1940421506e-1,1.1913513707e-1,1.7550376485e0,1.7521988054e0,1.4045805384e-2,1.2768546260e-2,1.1650347321e0,1.1614109932e0,1.0764889788e-3,1.0400012459e-3,1.0387489774e0,1.0411690666e0,2.1362456087e-4,1.7632308389e-4,1.0169409805e0,1.0165394793e0
1.460000,1.2090145187e-1,1.2310853537e-1,1.7734665433e0,1.7740402346e0,1.3778042811e-2,1.3390209072e-2,1.1657967995e0,1.1659360224e0,1.1789974630e-3,1.0965773428e-3,1.0406487825e0,1.0423207718e0,1.9754511811e-4,1.8615560069e-4,1.0162802632e0,1.0170021115e0
1.480000,1.2606248138e-1,1.2711081791e-1,1.7939488501e0,1.7962203340e0,1.5362294035e-2,1.4030537981e-2,1.1715254864e0,1.1705240124e0,1.4039054899e-3,1.1553313174e-3,1.0445308743e0,1.0434883725e0,2.2351015299e-4,1.9638656125e-4,1.0173356822e0,1.0174711254e0
1.500000,1.3204591754e-1,1.3113954245e-1,1.8206215297e0,1.8187400842e0,1.4760322187e-2,1.4689652747e-2,1.1736971524e0,1.1751749840e0,3.4789809356e-4,1.2163105849e-3,1.0440219418e0,1.0446718689e0,2.2354151167e-4,2.0702600852e-4,1.0172358492e0,1.0179465212e0
1.520000,1.3558094213e-1,1.3519230255e-1,1.8407310009e0,1.8416004455e0,1.6485790619e-2,1.5367662204e-2,1.1799766049e0,1.1798889579e0,1.4675867551e-3,1.2795625950e-3,1.0456259698e0,1.0458712616e0,2.9590781750e-4,2.1808407274e-4,1.0199947436e0,1.0184282987e0
1.540000,1.4145640008e-1,1.3926673086e-1,1.8588997699e0,1.8648023574e0,1.2869108492e-2,1.6064664256e-2,1.1918322523e0,1.1846659551e0,7.6780910129e-4,1.3451348138e-3,1.0497237149e0,1.0470865508e0,2.3436438433e-4,2.2957096963e-4,1.0176595586e0,1.0189164582e0
1.560000,1.4194724192e-1,1.4336050223e-1,1.8941168653e0,1.8883467370e0,1.7033038039e-2,1.6780745881e-2,1.1893250383e0,1.1895059967e0,1.5752417712e-3,1.4130747046e-3,1.0473409227e0,1.0483177371e0,2.6912963784e-4,2.4149699855e-4,1.0190390049e0,1.0194109995e0
1.580000,1.4861691326e-1,1.4747133635e-1,1.9103845435e0,1.9122344786e0,1.8424668806e-2,1.7515983152e-2,1.1945419126e0,1.1944091038e0,1.5970830943e-3,1.4834297100e-3,1.0476663955e0,1.0495648207e0,2.6842850303e-4,2.5387254074e-4,1.0189301776e0,1.0199119227e0
1.600000,1.5186755780e-1,1.5159700026e-1,1.9330779192e0,1.9364664530e0,1.5790605920e-2,1.8270441280e-2,1.1996503185e0,1.1993752979e0,1.8208879310e-3,1.5562472335e-3,1.0510768876e0,1.0508278022e0,3.4620428956e-4,2.6670805742e-4,1.0216348996e0,1.0204192279e0
1.620000,1.5522882440e-1,1.5573531047e-1,1.9611233678e0,1.9610435061e0,1.7068270227e-2,1.9044174653e-2,1.2088322211e0,1.2044046005e0,1.7138574672e-3,1.6315746212e-3,1.0494996543e0,1.0521066820e0,3.1800846234e-4,2.8001408802e-4,1.0206827612e0,1.0209329150e0
1.640000,1.5851325616e-1,1.5988413482e-1,1.9839659205e0,1.9859664589e0,2.0508368946e-2,1.9837226909e-2,1.2097169445e0,1.2094970332e0,2.1850099301e-3,1.7094591441e-3,1.0563353546e0,1.0534014604e0,3.0675806503e-4,2.9380124822e-4,1.0202869930e0,1.0214529842e0
