lambda,gap,eta
12.622449,0.20326136226,200
12.622449,0.72712810754,1000
12.622449,undefined,5000
12.622449,undefined,25000
12.723469,0.001540815232,50
12.723469,0.19812302541,200
12.723469,0.72341406702,1000
12.723469,undefined,5000
12.723469,undefined,25000
12.82449,0.0013896846102,50
12.82449,0.19307517152,200
12.82449,0.71968961852,1000
12.82449,undefined,5000
12.82449,undefined,25000
12.92551,0.0012523547682,50
12.92551,0.18811752934,200
12.92551,0.71595511884,1000
12.92551,undefined,5000
12.92551,undefined,25000
13.026531,0.0011276749701,50
13.026531,0.18324978003,200
13.026531,0.71221092427,1000
13.026531,undefined,5000
13.026531,undefined,25000
13.127551,0.0010145791641,50
13.127551,0.17847155864,200
13.127551,0.70845739043,1000
13.127551,undefined,5000
13.127551,undefined,25000
13.228571,0.00091208094216,50
13.228571,0.17378245564,200
13.228571,0.70469487207,1000
13.228571,undefined,5000
13.228571,undefined,25000
13.329592,0.00081926850621,50
13.329592,0.16918201834,200
13.329592,0.70092372332,1000
13.329592,undefined,5000
13.329592,undefined,25000
13.430612,0.00073530002453,50
13.430612,0.16466975242,200
13.430612,0.69714429741,1000
13.430612,undefined,5000
13.430612,undefined,25000
13.531633,0.00065939907748,50
13.531633,0.16024512346,200
13.531633,0.69335694667,1000
13.531633,undefined,5000
13.531633,undefined,25000
13.632653,0.00059085039007,50
13.632653,0.1559075584,200
13.632653,0.68956202256,1000
13.632653,undefined,5000
13.632653,undefined,25000
13.733673,0.0005289957235,50
13.733673,0.15165644705,200
13.733673,0.68575987542,1000
13.733673,undefined,5000
13.733673,undefined,25000
13.834694,0.00047322996542,50
13.834694,0.14749114358,200
13.834694,0.68195085468,1000
13.834694,undefined,5000
13.834694,undefined,25000
13.935714,0.00042299744234,50
13.935714,0.14341096806,200
13.935714,0.67813530861,1000
13.935714,undefined,5000
13.935714,undefined,25000
14.036735,0.00037778845885,50
14.036735,0.13941520784,200
14.036735,0.67431358433,1000
14.036735,undefined,5000
14.036735,undefined,25000
14.137755,0.00033713595406,50
14.137755,0.13550311917,200
14.137755,0.6704860278,1000
14.137755,undefined,5000
14.137755,undefined,25000
14.238776,0.00030061240608,50
14.238776,0.13167392851,200
14.238776,0.66665298375,1000
14.238776,undefined,5000
14.238776,undefined,25000
14.339796,0.00026782688735,50
14.339796,0.12792683413,200
14.339796,0.66281479548,1000
14.339796,undefined,5000
14.339796,undefined,25000
14.440816,0.0002384223036,50
14.440816,0.12426100746,200
14.440816,0.65897180517,1000
14.440816,undefined,5000
14.440816,undefined,25000
14.541837,0.00021207281651,50
14.541837,0.12067559454,200
14.541837,0.65512435339,1000
14.541837,undefined,5000
14.541837,undefined,25000
14.642857,0.00018848143628,50
14.642857,0.11716971746,200
14.642857,0.65127277947,1000
14.642857,undefined,5000
14.642857,undefined,25000
14.743878,0.00016737770241,50
14.743878,0.11374247573,200
14.743878,0.64741742111,1000
14.743878,undefined,5000
14.743878,undefined,25000
14.844898,0.00014851560192,50
14.844898,0.11039294768,200
14.844898,0.64355861451,1000
14.844898,undefined,5000
14.844898,undefined,25000
14.945918,0.00013167154921,50
14.945918,0.10712019182,200
14.945918,0.63969669435,1000
14.945918,undefined,5000
14.945918,undefined,25000
15.046939,0.00011664263698,50
15.046939,0.10392324813,200
15.046939,0.63583199364,1000
15.046939,undefined,5000
15.046939,undefined,25000
15.147959,0.0001032447725,50
15.147959,0.10080113948,200
15.147959,0.63196484374,1000
15.147959,undefined,5000
15.147959,undefined,25000
15.24898,0.000091311244034,50
15.24898,0.097752872824,200
15.24898,0.62809557431,1000
15.24898,undefined,5000
15.24898,undefined,25000
15.35,0.000080691156626,50
15.35,0.094777440548,200
15.35,0.62422451321,1000
15.35,undefined,5000
15.35,undefined,25000
15.45102,0.000071248050176,50
15.45102,0.09187382168,200
15.45102,0.62035198654,1000
15.45102,undefined,5000
15.45102,undefined,25000
15.552041,0.000062858729365,50
15.552041,0.089040983133,200
15.552041,0.61647831859,1000
15.552041,undefined,5000
15.552041,undefined,25000
15.653061,0.000055411956595,50
15.653061,0.086277880925,200
15.653061,0.61260383174,1000
15.653061,undefined,5000
15.653061,undefined,25000
15.754082,0.000048807531641,50
15.754082,0.083583461312,200
15.754082,0.60872884641,1000
15.754082,undefined,5000
15.754082,undefined,25000
15.855102,0.000042955199916,50
15.855102,0.080956661971,200
15.855102,0.6048536812,1000
15.855102,undefined,5000
15.855102,undefined,25000
15.956122,0.00003777373999,50
15.956122,0.078396413101,200
15.956122,0.6009786525,1000
15.956122,undefined,5000
15.956122,undefined,25000
16.057143,0.000033190190891,50
16.057143,0.075901638536,200
16.057143,0.59710407486,1000
16.057143,undefined,5000
16.057143,undefined,25000
16.158163,0.000029139017272,50
16.158163,0.073471256802,200
16.158163,0.59323026059,1000
16.158163,undefined,5000
16.158163,undefined,25000
16.259184,0.000025561450457,50
16.259184,0.071104182136,200
16.259184,0.58935752008,1000
16.259184,undefined,5000
16.259184,undefined,25000
16.360204,0.000022404829451,50
16.360204,0.068799325533,200
16.360204,0.58548616133,1000
16.360204,undefined,5000
16.360204,undefined,25000
16.461224,0.000019621982858,50
16.461224,0.066555595712,200
16.461224,0.58161649037,1000
16.461224,undefined,5000
16.461224,undefined,25000
16.562245,0.000017170771002,50
16.562245,0.064371900022,200
16.562245,0.57774881088,1000
16.562245,undefined,5000
16.562245,undefined,25000
16.663265,0.000015013509255,50
16.663265,0.062247145455,200
16.663265,0.57388342433,1000
16.663265,undefined,5000
16.663265,undefined,25000
16.764286,0.000013116564389,50
16.764286,0.060180239434,200
16.764286,0.57002062992,1000
16.764286,undefined,5000
16.764286,undefined,25000
16.865306,0.000011449945987,50
16.865306,0.058170090748,200
16.865306,0.56616072442,1000
16.865306,undefined,5000
16.865306,undefined,25000
16.966327,0.0000099869238852,50
16.966327,0.056215610351,200
16.966327,0.56230400237,1000
16.966327,undefined,5000
16.966327,undefined,25000
17.067347,0.0000087037383878,50
17.067347,0.054315712175,200
17.067347,0.55845075588,1000
17.067347,undefined,5000
17.067347,undefined,25000
17.168367,0.0000075792457892,50
17.168367,0.052469313898,200
17.168367,0.55460127462,1000
17.168367,undefined,5000
17.168367,undefined,25000
17.269388,0.0000065946372843,50
17.269388,0.050675337666,200
17.269388,0.55075584583,1000
17.269388,undefined,5000
17.269388,undefined,25000
17.370408,0.0000057332513848,50
17.370408,0.048932710864,200
17.370408,0.54691475424,1000
17.370408,undefined,5000
17.370408,undefined,25000
17.471429,0.0000049803181241,50
17.471429,0.047240366721,200
17.471429,0.54307828209,1000
17.471429,undefined,5000
17.471429,undefined,25000
17.572449,0.000004322728671,50
17.572449,0.045597245023,200
17.572449,0.53924670912,1000
17.572449,undefined,5000
17.572449,undefined,25000
17.673469,0.0000037489041347,50
17.673469,0.044002292701,200
17.673469,0.53542031243,1000
17.673469,undefined,5000
17.673469,undefined,25000
17.77449,0.0000032486074133,50
17.77449,0.042454464451,200
17.77449,0.5315993666,1000
17.77449,undefined,5000
17.77449,undefined,25000
17.87551,0.0000028127795986,50
17.87551,0.040952723311,200
17.87551,0.52778414351,1000
17.87551,undefined,5000
17.87551,undefined,25000
17.976531,0.0000024334298132,50
17.976531,0.039496041141,200
17.976531,0.52397491249,1000
17.976531,undefined,5000
17.976531,undefined,25000
18.077551,0.000002103518284,50
18.077551,0.038083399191,200
18.077551,0.52017194012,1000
18.077551,undefined,5000
18.077551,undefined,25000
18.178571,0.0000018168468046,50
18.178571,0.036713788595,200
18.178571,0.51637549036,1000
18.178571,undefined,5000
18.178571,undefined,25000
18.279592,0.0000015679702301,50
18.279592,0.035386210729,200
18.279592,0.51258582434,1000
18.279592,undefined,5000
18.279592,undefined,25000
18.380612,0.0000013520883044,50
18.380612,0.03409967779,200
18.380612,0.50880320061,1000
18.380612,undefined,5000
18.380612,undefined,25000
18.481633,0.0000011649750604,50
18.481633,0.032853213095,200
18.481633,0.50502787479,1000
18.481633,undefined,5000
18.481633,undefined,25000
18.582653,0.0000010029348232,50
18.582653,0.03164585143,200
18.582653,0.50126009988,1000
18.582653,undefined,5000
18.582653,undefined,25000
18.683673,8.6272052613e-7,50
18.683673,0.030476639505,200
18.683673,0.49750012596,1000
18.683673,undefined,5000
18.683673,undefined,25000
18.784694,7.4151836316e-7,50
18.784694,0.029344636275,200
18.784694,0.49374820032,1000
18.784694,undefined,5000
18.784694,undefined,25000
18.885714,6.3681000029e-7,50
18.885714,0.028248913091,200
18.885714,0.49000456741,1000
18.885714,undefined,5000
18.885714,undefined,25000
18.986735,5.4644249303e-7,50
18.986735,0.02718855418,200
18.986735,0.48626946885,1000
18.986735,undefined,5000
18.986735,undefined,25000
19.087755,4.6853045887e-7,50
19.087755,0.02616265676,200
19.087755,0.48254314331,1000
19.087755,undefined,5000
19.087755,undefined,25000
19.188776,4.0138507984e-7,50
19.188776,0.025170331366,200
19.188776,0.4788258267,1000
19.188776,undefined,5000
19.188776,undefined,25000
19.289796,3.4358646417e-7,50
19.289796,0.024210701973,200
19.289796,0.47511775179,1000
19.289796,undefined,5000
19.289796,undefined,25000
19.390816,2.9386217193e-7,50
19.390816,0.023282906253,200
19.390816,0.47141914866,1000
19.390816,undefined,5000
19.390816,undefined,25000
19.491837,2.5114144364e-7,50
19.491837,0.022386095727,200
19.491837,0.46773024434,1000
19.491837,undefined,5000
19.491837,undefined,25000
19.592857,2.1444981257e-7,50
19.592857,0.021519435907,200
19.592857,0.46405126288,1000
19.592857,undefined,5000
19.592857,undefined,25000
19.693878,1.8296515236e-7,50
19.693878,0.020682106427,200
19.693878,0.46038242545,1000
19.693878,undefined,5000
19.693878,undefined,25000
19.794898,1.5597947822e-7,50
19.794898,0.019873301139,200
19.794898,0.45672395017,1000
19.794898,undefined,5000
19.794898,undefined,25000
19.895918,1.328726853e-7,50
19.895918,0.019092228238,200
19.895918,0.45307605212,1000
19.895918,undefined,5000
19.895918,undefined,25000
19.996939,1.1309032288e-7,50
19.996939,0.018338110316,200
19.996939,0.44943894354,1000
19.996939,undefined,5000
19.996939,undefined,25000
20.097959,9.6175881481e-8,50
20.097959,0.017610184412,200
20.097959,0.44581283354,1000
20.097959,undefined,5000
20.097959,undefined,25000
20.19898,8.172202115e-8,50
20.19898,0.016907702051,200
20.19898,0.44219792815,1000
20.19898,undefined,5000
20.19898,undefined,25000
20.3,6.9389386681e-8,50
20.3,0.01622992926,200
20.3,0.43859443051,1000
20.3,undefined,5000
20.3,undefined,25000
20.40102,5.8868408814e-8,50
20.40102,0.01557614666,200
20.40102,0.43500254059,1000
20.40102,undefined,5000
20.40102,undefined,25000
20.502041,4.9900279464e-8,50
20.502041,0.014945649313,200
20.502041,0.4314224554,1000
20.502041,undefined,5000
20.502041,undefined,25000
20.603061,4.2262172428e-8,50
20.603061,0.014337746811,200
20.603061,0.4278543689,1000
20.603061,undefined,5000
20.603061,undefined,25000
20.704082,3.5765197026e-8,50
20.704082,0.013751763213,200
20.704082,0.42429847183,1000
20.704082,undefined,5000
20.704082,undefined,25000
20.805102,3.0241096738e-8,50
20.805102,0.013187036973,200
20.805102,0.42075495208,1000
20.805102,undefined,5000
20.805102,undefined,25000
20.906122,2.55504915e-8,50
20.906122,0.012642920908,200
20.906122,0.41722399433,1000
20.906122,undefined,5000
20.906122,undefined,25000
21.007143,2.1567586828e-8,50
21.007143,0.012118782109,200
21.007143,0.41370578021,1000
21.007143,undefined,5000
21.007143,undefined,25000
21.108163,1.8193929918e-8,50
21.108163,0.011614001916,200
21.108163,0.41020048826,1000
21.108163,undefined,5000
21.108163,undefined,25000
21.209184,1.5333853298e-8,50
21.209184,0.011127975697,200
21.209184,0.40670829402,1000
21.209184,undefined,5000
21.209184,undefined,25000
21.310204,1.2910561509e-8,50
