lambda,ntilde_eta50,sigmaz_eta50,x2_eta50,u4x_eta50,gap_eta50,cv_eta50,ntilde_eta200,sigmaz_eta200,x2_eta200,u4x_eta200,gap_eta200,cv_eta200,ntilde_eta1000,sigmaz_eta1000,x2_eta1000,u4x_eta1000,gap_eta1000,cv_eta1000
4.136735,1.6954853328e1,-2.4503345434e-1,2.3594914381e0,2.2084670797e-1,5.0430809389e-1,1.9921690370e-1,1.7014293062e1,-5.8047322123e-1,1.3407756147e0,4.3008911043e-2,8.4271305170e-1,3.7475174218e-1,1.7087911798e1,-7.2202569559e-1,1.0683762931e0,2.7297805256e-3,9.6635387674e-1,4.1261254932e-1
4.237755,1.7802959118e1,-2.3079653522e-1,2.4272975008e0,2.3004560697e-1,4.8752883657e-1,1.8907014440e-1,1.7856850960e1,-5.7249694474e-1,1.3576438947e0,4.6203138141e-2,8.3561373884e-1,3.7206736877e-1,1.7932755393e1,-7.2011100202e-1,1.0717568173e0,2.9874408725e-3,9.6472019791e-1,4.1222317517e-1
4.338776,1.8671894730e1,-2.1703103133e-1,2.4967616614e0,2.3913124735e-1,4.7092332086e-1,1.7903997517e-1,1.8719857714e1,-5.6442046226e-1,1.3749209584e0,4.9507797879e-2,8.2840513803e-1,3.6928648653e-1,1.8797988491e1,-7.1815414247e-1,1.0752189206e0,3.2615668221e-3,9.6304996793e-1,4.1182202073e-1
4.439796,1.9561630930e1,-2.0375451517e-1,2.5678821577e0,2.4809278312e-1,4.5451225684e-1,1.6916201871e-1,1.9603319966e1,-5.5624983149e-1,1.3926069072e0,5.2919601287e-2,8.2109112179e-1,3.6640850763e-1,1.9683610827e1,-7.1615540342e-1,1.0787626017e0,3.5526679933e-3,9.6134338626e-1,4.1140892947e-1
4.540816,2.0472136687e1,-1.9098127599e-1,2.6406571250e0,2.5692084651e-1,4.3831517401e-1,1.5946984102e-1,2.0507243687e1,-5.4799118349e-1,1.4107018295e0,5.6435038965e-2,8.1367559308e-1,3.6343300985e-1,2.0589623146e1,-7.1411507582e-1,1.0823878630e0,3.8612447924e-3,9.5960065658e-1,4.1098374285e-1
4.641837,2.1403379410e1,-1.7872235720e-1,2.7150846071e0,2.6560744529e-1,4.2235039991e-1,1.4999460748e-1,2.1431634885e1,-5.3965071002e-1,1.4292058153e0,6.0050409358e-2,8.0616248187e-1,3.6035974478e-1,2.1516025836e1,-7.1203345762e-1,1.0860947056e0,4.1877871387e-3,9.5782198657e-1,4.1054630043e-1
4.742857,2.2355324800e1,-1.6698563176e-1,2.7911625354e0,2.7414585660e-1,4.0663504430e-1,1.4076479277e-1,2.2376499653e1,-5.3123465614e-1,1.4481189568e0,6.3761844091e-2,7.9855574173e-1,3.5718864559e-1,2.2462819323e1,-7.0991085297e-1,1.0898831307e0,4.5327737807e-3,9.5600758787e-1,4.1009644001e-1
4.843878,2.3327938243e1,-1.5577588175e-1,2.8688888318e0,2.8253053595e-1,3.9118498872e-1,1.3180594855e-1,2.3341843707e1,-5.2274931672e-1,1.4674413395e0,6.7565330674e-2,7.9085934633e-1,3.5391983417e-1,2.3430004273e1,-7.0774757188e-1,1.0937531406e0,4.8966716027e-3,9.5415767618e-1,4.0963399776e-1
4.944898,2.4321184563e1,-1.4509493379e-1,2.9482613809e0,2.9075701334e-1,3.7601488136e-1,1.2314053120e-1,2.4327672657e1,-5.1420102668e-1,1.4871730476e0,7.1456737301e-2,7.8307728610e-1,3.5055362774e-1,2.4417581154e1,-7.0554393096e-1,1.0977047366e0,5.2799347332e-3,9.5227247111e-1,4.0915880830e-1
5.045918,2.5335028437e1,-1.3494180733e-1,3.0292780548e0,2.9882179891e-1,3.6113813706e-1,1.1478778988e-1,2.5333992064e1,-5.0559615286e-1,1.5073141652e0,7.5431835918e-2,7.7521356475e-1,3.4709054474e-1,2.5425550194e1,-7.0330025347e-1,1.1017379191e0,5.6830038210e-3,9.5035219613e-1,4.0867070491e-1
5.146939,2.6369435237e1,-1.2531287811e-1,3.1119367737e0,3.0672229615e-1,3.4656694221e-1,1.0676371356e-1,2.6360807109e1,-4.9694108861e-1,1.5278647696e0,7.9486322758e-2,7.6727219596e-1,3.4353131003e-1,2.6453912192e1,-7.0101686777e-1,1.1058526909e0,6.1063057050e-3,9.4839707858e-1,4.0816951958e-1
