lambda,ntilde_eta50,sigmaz_eta50,x2_eta50,u4x_eta50,gap_eta50,cv_eta50,ntilde_eta200,sigmaz_eta200,x2_eta200,u4x_eta200,gap_eta200,cv_eta200,ntilde_eta1000,sigmaz_eta1000,x2_eta1000,u4x_eta1000,gap_eta1000,cv_eta1000
4.338776,1.8785993012e1,-6.5527538165e-2,2.5036073732e0,2.4034071124e-1,4.7092332086e-1,1.3670203580e-2,1.8794001441e1,-1.7057565242e-1,1.3760331081e0,4.9766503640e-2,8.2840513803e-1,4.1102661009e-2,1.8816459408e1,-2.2755880254e-1,1.0752743334e0,3.2667724561e-3,9.6304996793e-1,5.4732163305e-2
4.439796,1.9673608284e1,-6.1754582427e-2,2.5746006317e0,2.4924480727e-1,4.5451225684e-1,1.2746067464e-2,1.9679914461e1,-1.6769078490e-1,1.3937558182e0,5.3189531186e-2,8.2109112179e-1,4.0410106126e-2,1.9702904126e1,-2.2677153018e-1,1.0788204816e0,3.5583082406e-3,9.6134338626e-1,5.4549342422e-2
4.540816,2.0581710831e1,-5.8140942748e-2,2.6472314237e0,2.5801439244e-1,4.3831517401e-1,1.1864486644e-2,2.0586258582e1,-1.6478992331e-1,1.4118870464e0,5.6715897574e-2,8.1367559308e-1,3.9713156029e-2,2.0609753363e1,-2.2596890901e-1,1.0824482536e0,3.8673418063e-3,9.5960065658e-1,5.4362906415e-2
4.641837,2.1510292666e1,-5.4686504842e-2,2.7214992682e0,2.6664203747e-1,4.2235039991e-1,1.1025373501e-2,2.1513035373e1,-1.6187562097e-1,1.4304268161e0,6.0341858917e-2,8.0616248187e-1,3.9012419291e-2,2.1537007240e1,-2.2515111854e-1,1.0861576498e0,4.1943632884e-3,9.5782198657e-1,5.4172894038e-2
4.742857,2.2459345348e1,-5.1390449379e-2,2.7974036493e0,2.7512153144e-1,4.0663504430e-1,1.0228441935e-2,2.2460246494e1,-1.5895040264e-1,1.4493751528e0,6.4063506997e-2,7.9855574173e-1,3.8308500120e-2,2.2484665901e1,-2.2431834122e-1,1.0899486705e0,4.5398516048e-3,9.5600758787e-1,5.3979344724e-2
4.843878,2.3428860824e1,-4.8251293217e-2,2.8749440819e0,2.8344778743e-1,3.9118498872e-1,9.4732225869e-3,2.3427893370e1,-1.5601676367e-1,1.4687320778e0,6.7876792634e-2,7.9085934633e-1,3.7601997487e-2,2.3452729658e1,-2.2347076213e-1,1.0938213168e0,4.9042737390e-3,9.5415767618e-1,5.3782298587e-2
4.944898,2.4418830987e1,-4.5266953961e-2,2.9541200744e0,2.9161673953e-1,3.7601488136e-1,8.7590785753e-3,2.4415977394e1,-1.5307716494e-1,1.4884976120e0,7.1777550328e-2,7.8307728610e-1,3.6893504277e-2,2.4441198678e1,-2.2260856946e-1,1.0977755892e0,5.2880838943e-3,9.5227247111e-1,5.3581796397e-2
5.045918,2.5429247747e1,-4.2434805806e-2,3.0349311338e0,2.9962524908e-1,3.6113813706e-1,8.0852215602e-3,2.5424499972e1,-1.5013402916e-1,1.5086717769e0,7.5761521361e-2,7.7521356475e-1,3.6183606460e-2,2.5450072957e1,-2.2173195448e-1,1.1018114874e0,5.6917227779e-3,9.5035219613e-1,5.3377879569e-2
5.146939,2.6460103476e1,-3.9751730307e-2,3.1173767994e0,3.0747101856e-1,3.4656694221e-1,7.4507279332e-3,2.6453462293e1,-1.4718973955e-1,1.5292545903e0,7.9824374752e-2,7.6727219596e-1,3.5472882280e-2,2.6479352889e1,-2.2084111045e-1,1.1059290130e0,6.1156171764e-3,9.4839707858e-1,5.3170590156e-2
5.247959,2.7511390683e1,-3.7214178150e-2,3.2014566161e0,3.1515250426e-1,3.3231226431e-1,6.8545549604e-3,2.7502865181e1,-1.4424663787e-1,1.5502460629e0,8.3961727433e-2,7.5925719996e-1,3.4761901465e-2,2.7529038544e1,-2.1993623389e-1,1.1101281659e0,6.5601790522e-3,9.4640734958e-1,5.2959970830e-2
5.348980,2.8583102204e1,-3.4818222169e-2,3.2871701482e0,3.2266883855e-1,3.1838386610e-1,6.2955567112e-3,2.8572710315e1,-1.4130701225e-1,1.5716462230e0,8.8169168645e-2,7.5117260026e-1,3.4051224473e-2,2.8599130112e1,-2.1901752365e-1,1.1144089468e0,7.0258051506e-3,9.4438324405e-1,5.2746064874e-2
5.450000,2.9675231244e1,-3.2559610983e-2,3.3745169827e0,3.3001975640e-1,3.0479032383e-1,5.7724996231e-3,2.9662998351e1,-1.3837310871e-1,1.5934550789e0,9.2442270851e-2,7.4302242029e-1,3.3341401747e-2,2.9689627834e1,-2.1808518098e-1,1.1187713564e0,7.5128764415e-3,9.4232500053e-1,5.2528916160e-2
5.551020,3.0787769658e1,-3.0433841574e-2,3.4634965899e0,3.3720551599e-1,2.9153904954e-1,5.2840775700e-3,3.0773730042e1,-1.3544712001e-1,1.6156726412e0,9.6776611278e-2,7.3481068016e-1,3.2632973014e-2,3.0800531759e1,-2.1713940996e-1,1.1232153947e0,8.0217575229e-3,9.4023286130e-1,5.2308569150e-2
5.652041,3.1920714904e1,-2.8436127210e-2,3.5541088807e0,3.4422688047e-1,2.7863631704e-1,4.8289263156e-3,3.1904906576e1,-1.3253118081e-1,1.6382989295e0,1.0116778902e-1,7.2654139343e-1,3.1926466608e-2,3.1931842514e1,-2.1618041590e-1,1.1277410641e0,8.5527965263e-3,9.3810707224e-1,5.2085068870e-2
5.753061,3.3074061891e1,-2.6561545291e-2,3.6463535526e0,3.5108500545e-1,2.6608729130e-1,4.4056372566e-3,3.3056528273e1,-1.2962737489e-1,1.6613339469e0,1.0561143450e-1,7.1821856393e-1,3.1222398823e-2,3.3083559601e1,-2.1520840854e-1,1.1323483623e0,9.1063239163e-3,9.3594788276e-1,5.1858460896e-2
5.854082,3.4247801754e1,-2.4805086957e-2,3.7402299919e0,3.5778138303e-1,2.5389606098e-1,4.0127703699e-3,3.4228596226e1,-1.2673772112e-1,1.6847777120e0,1.1010322919e-1,7.0984618262e-1,3.0521273296e-2,3.4255683330e1,-2.1422359830e-1,1.1370372904e0,9.6826530245e-3,9.3375554583e-1,5.1628791352e-2
5.955102,3.5441931598e1,-2.3161594412e-2,3.8357380533e0,3.6431785101e-1,2.4206567375e-1,3.6488663023e-3,3.5421110983e1,-1.2386418100e-1,1.7086302330e0,1.1463891248e-1,7.0142822450e-1,2.9823580433e-2,3.5448214932e1,-2.1322619601e-1,1.1418078532e0,1.0282079829e-2,9.3153031783e-1,5.1396106879e-2
6.056122,3.6656448611e1,-2.1625867431e-2,3.9328775889e0,3.7069651199e-1,2.3059817422e-1,3.3124575526e-3,3.6634071992e1,-1.2100866055e-1,1.7328914968e0,1.1921429055e-1,6.9296864552e-1,2.9129796858e-2,3.6661153428e1,-2.1221641872e-1,1.1466600465e0,1.0904881099e-2,9.2927245864e-1,5.1160454636e-2
6.157143,3.7891346149e1,-2.0192732566e-2,4.0316481346e0,3.7691967470e-1,2.1949464409e-1,3.0020787155e-3,3.7867480764e1,-1.1817298658e-1,1.7575615316e0,1.2382525805e-1,6.8447137972e-1,2.8440384911e-2,3.7894499445e1,-2.1119448244e-1,1.1515938727e0,1.1551316052e-2,9.2698223142e-1,5.0921882276e-2
6.258163,3.9146623167e1,-1.8856987233e-2,4.1320496653e0,3.8298986758e-1,2.0875524424e-1,2.7162757689e-3,3.9121336843e1,-1.1535893330e-1,1.7826403271e0,1.2846779138e-1,6.7594033615e-1,2.7755792170e-2,3.9148253148e1,-2.1016060597e-1,1.1566093322e0,1.2221625124e-2,9.2465990269e-1,5.0680437933e-2
6.359184,4.0422277320e1,-1.7613495170e-2,4.2340820429e0,3.8890976962e-1,1.9837925846e-1,2.4536143962e-3,4.0395641061e1,-1.1256819852e-1,1.8081278989e0,1.3313796843e-1,6.6737939611e-1,2.7076451019e-2,4.0422414588e1,-2.0911501015e-1,1.1617064249e0,1.2916029974e-2,9.2230574227e-1,5.0436170212e-2
6.460204,4.1718307500e1,-1.6457189651e-2,4.3377452196e0,3.9468219434e-1,1.8836513861e-1,2.2126873605e-3,4.1690393628e1,-1.0980241565e-1,1.8340242506e0,1.3783196790e-1,6.5879241033e-1,2.6402778250e-2,4.1716984176e1,-2.0805791693e-1,1.1668851525e0,1.3634733616e-2,9.1992002309e-1,5.0189128162e-2
6.561224,4.3034709248e1,-1.5383131084e-2,4.4430388713e0,4.0031004381e-1,1.7871055081e-1,1.9921209373e-3,4.3005593857e1,-1.0706315423e-1,1.8603293685e0,1.4254607395e-1,6.5018319621e-1,2.5735174709e-2,4.3031962086e1,-2.0698955034e-1,1.1721455152e0,1.4377920017e-2,9.1750302133e-1,4.9939361278e-2
6.662245,4.4371482779e1,-1.4386465215e-2,4.5499630401e0,4.0579632138e-1,1.6941242247e-1,1.7905804443e-3,4.4341242029e1,-1.0435190682e-1,1.8870432584e0,1.4727668752e-1,6.4155553514e-1,2.5074024971e-2,4.4367348270e1,-2.0591013648e-1,1.1774875129e0,1.5145754038e-2,9.1505501628e-1,4.9686919475e-2
6.763265,4.5728626260e1,-1.3462491795e-2,4.6585175968e0,4.1114408126e-1,1.6046698986e-1,1.6067748968e-3,4.5697337199e1,-1.0167010263e-1,1.9141659020e0,1.5202032223e-1,6.3291316997e-1,2.4419697067e-2,4.5723143437e1,-2.0481990154e-1,1.1829111480e0,1.5938381989e-2,9.1257629020e-1,4.9431853066e-2
6.864286,4.7106137733e1,-1.2606662815e-2,4.7687023957e0,4.1635641961e-1,1.5186984601e-1,1.4394608363e-3,4.7073881489e1,-9.9019079726e-2,1.9416973430e0,1.5677362239e-1,6.2425980242e-1,2.3772542241e-2,4.7099347297e1,-2.0371907499e-1,1.1884164193e0,1.6755930632e-2,9.1006712840e-1,4.9174212762e-2
6.965306,4.8504021023e1,-1.1814559444e-2,4.8805177470e0,4.2143647993e-1,1.4361598857e-1,1.2874453781e-3,4.8470872256e1,-9.6400134228e-2,1.9696375299e0,1.6153333786e-1,6.1559909068e-1,2.3132894750e-2,4.8495960298e1,-2.0260788636e-1,1.1940033283e0,1.7598508247e-2,9.0752781914e-1,4.8914049649e-2
7.066327,4.9922274094e1,-1.1081973908e-2,4.9939634866e0,4.2638739489e-1,1.3569986761e-1,1.1495885273e-3,4.9888310360e1,-9.3814467922e-2,1.9979864817e0,1.6629635443e-1,6.0693464700e-1,2.2501071703e-2,4.9912982526e1,-2.0148656711e-1,1.1996718752e0,1.8466204067e-2,9.0495865358e-1,4.8651415171e-2
7.167347,5.1360893771e1,-1.0404882270e-2,5.1090393545e0,4.3121229402e-1,1.2811543293e-1,1.0248048255e-3,5.1326194744e1,-9.1263222158e-2,2.0267441793e0,1.7105967595e-1,5.9827003543e-1,2.1877372938e-2,5.1350414516e1,-2.0035534907e-1,1.2054220619e0,1.9359088892e-2,9.0235992564e-1,4.8386361110e-2
7.268367,5.2819884881e1,-9.7794029304e-3,5.2257457253e0,4.3591432287e-1,1.2085618081e-1,9.1206437855e-4,5.2784525670e1,-8.8747458055e-2,2.0559106307e0,1.7582043567e-1,5.8960876959e-1,2.1262080941e-2,5.2808255450e1,-1.9921446771e-1,1.2112538850e0,2.0277214109e-2,8.9973193214e-1,4.8118939586e-2
7.369388,5.4299246719e1,-9.2018731894e-3,5.3440825277e0,4.4049658726e-1,1.1391519994e-1,8.1039332326e-4,5.4263300765e1,-8.6268180327e-2,2.0854857910e0,1.8057588310e-1,5.8095431056e-1,2.0655460799e-2,5.4286506645e1,-1.9806415564e-1,1.2171673495e0,2.1220614052e-2,8.9707497246e-1,4.7849203017e-2
7.470408,5.5798980117e1,-8.6688116861e-3,5.4640498095e0,4.4496216961e-1,1.0728521644e-1,7.1887379909e-4,5.5762521277e1,-8.3826300751e-2,2.1154696883e0,1.8532340367e-1,5.7231006484e-1,2.0057760192e-2,5.5785168046e1,-1.9690464897e-1,1.2231624550e0,2.2189304008e-2,8.9438934879e-1,4.7577204128e-2
7.571429,5.7319086123e1,-8.1769253762e-3,5.5856476330e0,4.4931411755e-1,1.0095863769e-1,6.3664346681e-4,5.7282185795e1,-8.1422675629e-2,2.1458622980e0,1.9006049735e-1,5.6367938235e-1,1.9469209422e-2,5.7304239648e1,-1.9573618459e-1,1.2292392013e0,2.3183281329e-2,8.9167536586e-1,4.7302995915e-2
7.672449,5.8859565890e1,-7.7231083727e-3,5.7088760663e0,4.5355543764e-1,9.4927594927e-2,5.6289464464e-4,5.8822295410e1,-7.9058076705e-2,2.1766636455e0,1.9478479356e-1,5.5506555461e-1,1.8890021481e-2,5.8843721620e1,-1.9455899991e-1,1.2353975888e0,2.4202525766e-2,8.8893333095e-1,4.7026631639e-2
7.773469,6.0420420772e1,-7.3044386846e-3,5.8337351912e0,4.5768909073e-1,8.9183984421e-2,4.9687310889e-4,6.0382845157e1,-7.6733239745e-2,2.2078736353e0,1.9949402312e-1,5.4647181293e-1,1.8320392145e-2,6.0403614539e1,-1.9337333235e-1,1.2416376198e0,2.5246999911e-2,8.8616355383e-1,4.6748164806e-2
