lambda,n_omega50,n_over_eta_omega50,n_omega100,n_over_eta_omega100,n_omega500,n_over_eta_omega500,n_omega1000,n_over_eta_omega1000
2.28345865,0.1009696968,0.0020193939,0.0512141571,0.0005121416,0.0103876328,0.0000207753,0.0052038786,0.0000052039
2.30827068,0.1031907390,0.0020638148,0.0523353008,0.0005233530,0.0106146220,0.0000212292,0.0053175858,0.0000053176
2.33308271,0.1054363890,0.0021087278,0.0534686561,0.0005346866,0.0108440647,0.0000216881,0.0054325221,0.0000054325
2.35789474,0.1077066289,0.0021541326,0.0546142109,0.0005461421,0.0110759629,0.0000221519,0.0055486869,0.0000055487
2.38270677,0.1100014786,0.0022000296,0.0557719753,0.0005577198,0.0113103130,0.0000226206,0.0056660822,0.0000056661
2.40751880,0.1123209736,0.0022464195,0.0569419546,0.0005694195,0.0115471180,0.0000230942,0.0057847053,0.0000057847
2.43233083,0.1146651032,0.0022933021,0.0581241420,0.0005812414,0.0117863761,0.0000235728,0.0059045574,0.0000059046
2.45714286,0.1170338786,0.0023406776,0.0593185494,0.0005931855,0.0120280897,0.0000240562,0.0060256390,0.0000060256
2.48195489,0.1194273404,0.0023885468,0.0605251761,0.0006052518,0.0122722574,0.0000245445,0.0061479475,0.0000061479
2.50676692,0.1218454843,0.0024369097,0.0617440201,0.0006174402,0.0125188778,0.0000250378,0.0062714872,0.0000062715
2.53157895,0.1242883247,0.0024857665,0.0629750915,0.0006297509,0.0127679543,0.0000255359,0.0063962565,0.0000063963
2.55639098,0.1267559009,0.0025351180,0.0642183939,0.0006421839,0.0130194831,0.0000260390,0.0065222535,0.0000065223
2.58120301,0.1292481907,0.0025849638,0.0654739180,0.0006547392,0.0132734682,0.0000265469,0.0066494794,0.0000066495
2.60601504,0.1317652315,0.0026353046,0.0667416744,0.0006674167,0.0135299062,0.0000270598,0.0067779353,0.0000067779
2.63082707,0.1343070223,0.0026861404,0.0680216686,0.0006802167,0.0137887983,0.0000275776,0.0069076189,0.0000069076
2.65563910,0.1368735939,0.0027374719,0.0693138969,0.0006931390,0.0140501453,0.0000281003,0.0070385321,0.0000070385
2.68045113,0.1394649604,0.0027892992,0.0706183660,0.0007061837,0.0143139463,0.0000286279,0.0071706743,0.0000071707
2.70526316,0.1420811229,0.0028416225,0.0719350787,0.0007193508,0.0145802020,0.0000291604,0.0073040453,0.0000073040
2.73007519,0.1447220950,0.0028944419,0.0732640374,0.0007326404,0.0148489117,0.0000296978,0.0074386459,0.0000074386
2.75488722,0.1473878954,0.0029477579,0.0746052401,0.0007460524,0.0151200758,0.0000302402,0.0075744758,0.0000075745
2.77969925,0.1500785443,0.0030015709,0.0759586976,0.0007595870,0.0153936951,0.0000307874,0.0077115341,0.0000077115
2.80451128,0.1527940525,0.0030558810,0.0773244056,0.0007732441,0.0156697669,0.0000313395,0.0078498214,0.0000078498
2.82932331,0.1555344140,0.0031106883,0.0787023668,0.0007870237,0.0159482953,0.0000318966,0.0079893381,0.0000079893
2.85413534,0.1582996679,0.0031659934,0.0800925911,0.0008009259,0.0162292774,0.0000324586,0.0081300820,0.0000081301
